h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
<<<<<<< HEAD
a,1.26793,0.822944,1.26793,0.822944,"{'att': 309, 'def': 19}","{'att': 374, 'def': 33}",5,9,1,0,1.7446000000000002,w,2020-09-13 15:30:00,1,0,0,3,0.444986
h,4.16254,0.315347,4.16254,0.315347,"{'att': 191, 'def': 21}","{'att': 581, 'def': 14}",6,6,5,2,2.9941,w,2020-09-19 11:30:00,1,0,0,3,3.847193
a,2.27189,0.443115,1.51072,0.443115,"{'att': 168, 'def': 23}","{'att': 349, 'def': 29}",3,4,2,1,2.6964000000000006,w,2020-09-26 14:00:00,1,0,0,3,1.0676050000000001
h,2.34034,1.16568,2.34034,1.16568,"{'att': 299, 'def': 33}","{'att': 275, 'def': 30}",10,7,4,2,2.2643,w,2020-10-03 14:00:00,1,0,0,3,1.1746599999999998
h,1.35998,2.49492,1.35998,2.49492,"{'att': 282, 'def': 20}","{'att': 218, 'def': 25}",2,13,2,2,0.6754,d,2020-10-17 11:30:00,0,1,0,1,-1.13494
a,0.287054,0.74151,0.287054,0.74151,"{'att': 409, 'def': 35}","{'att': 333, 'def': 24}",6,6,0,2,0.8175000000000001,l,2020-10-25 14:00:00,0,0,1,0,-0.454456
a,1.21805,2.6311,1.21805,1.86993,"{'att': 211, 'def': 24}","{'att': 411, 'def': 12}",8,5,1,2,0.39149999999999996,l,2020-11-01 14:00:00,0,0,1,0,-0.65188
h,0.376464,1.59642,0.376464,1.59642,"{'att': 254, 'def': 20}","{'att': 319, 'def': 26}",9,7,1,3,0.41380000000000006,l,2020-11-07 12:30:00,0,0,1,0,-1.2199559999999998
a,2.2508,1.87028,2.2508,1.10911,"{'att': 286, 'def': 21}","{'att': 286, 'def': 27}",9,9,3,2,1.6539,w,2020-11-22 12:00:00,1,0,0,3,1.1416899999999999
h,1.29229,3.11324,1.29229,3.11324,"{'att': 311, 'def': 19}","{'att': 205, 'def': 32}",6,12,0,1,0.36869999999999997,l,2020-11-28 17:30:00,0,0,1,0,-1.8209499999999998
a,2.28139,0.730434,2.28139,0.730434,"{'att': 210, 'def': 28}","{'att': 377, 'def': 23}",10,6,1,1,2.5509000000000004,d,2020-12-05 12:30:00,0,1,0,1,1.550956
h,1.2216,1.00627,0.460428,1.00627,"{'att': 375, 'def': 20}","{'att': 103, 'def': 25}",2,6,1,0,1.5519,w,2020-12-12 20:00:00,1,0,0,3,-0.5458419999999999
a,1.51486,0.83883,1.51486,0.83883,"{'att': 347, 'def': 13}","{'att': 195, 'def': 28}",3,6,2,0,2.0143,w,2020-12-16 18:00:00,1,0,0,3,0.6760300000000001
h,0.661744,1.25206,0.661744,0.490894,"{'att': 313, 'def': 10}","{'att': 229, 'def': 17}",1,11,2,1,0.7474999999999999,w,2020-12-19 17:30:00,1,0,0,3,0.17085
a,0.568803,1.25106,0.568803,1.25106,"{'att': 201, 'def': 18}","{'att': 323, 'def': 30}",8,3,1,0,0.6396,w,2020-12-26 20:00:00,1,0,0,3,-0.6822570000000001
h,0.371045,1.19713,0.371045,1.19713,"{'att': 202, 'def': 18}","{'att': 348, 'def': 20}",5,4,0,1,0.5598000000000001,l,2021-01-01 17:30:00,0,0,1,0,-0.826085
a,0.323445,0.852495,0.323445,0.852495,"{'att': 332, 'def': 18}","{'att': 317, 'def': 21}",9,4,2,1,0.7932,w,2021-01-12 20:15:00,1,0,0,3,-0.52905
