h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
<<<<<<< HEAD
h,1.39569,1.26267,1.39569,1.26267,"{'att': 312, 'def': 18}","{'att': 83, 'def': 23}",1,14,1,0,1.477,w,2020-09-12 14:00:00,1,0,0,3,0.13302000000000014
a,1.91456,1.09737,1.15339,1.09737,"{'att': 299, 'def': 22}","{'att': 86, 'def': 26}",4,9,3,1,2.0159000000000002,w,2020-09-19 16:30:00,1,0,0,3,0.05601999999999996
h,0.443115,2.27189,0.443115,1.51072,"{'att': 349, 'def': 29}","{'att': 168, 'def': 23}",4,3,1,2,0.19469999999999998,l,2020-09-26 14:00:00,0,0,1,0,-1.0676050000000001
a,0.103249,2.51433,0.103249,0.991996,"{'att': 440, 'def': 17}","{'att': 138, 'def': 31}",2,5,0,4,0.0397,l,2020-10-03 11:30:00,0,0,1,0,-0.888747
h,0.761169,1.0935,0.0,1.0935,"{'att': 299, 'def': 22}","{'att': 147, 'def': 23}",1,7,1,1,1.1033,d,2020-10-18 13:00:00,0,1,0,1,-1.0935
a,2.81049,1.05258,2.81049,1.05258,"{'att': 323, 'def': 15}","{'att': 181, 'def': 29}",9,8,2,1,2.5374000000000003,w,2020-10-24 14:00:00,1,0,0,3,1.75791
a,0.802767,1.34895,0.802767,1.34895,"{'att': 234, 'def': 14}","{'att': 374, 'def': 27}",4,8,0,2,0.887,l,2020-10-30 20:00:00,0,0,1,0,-0.5461830000000001
h,1.30169,0.847913,1.30169,0.847913,"{'att': 352, 'def': 17}","{'att': 152, 'def': 37}",8,6,4,1,1.7482,w,2020-11-07 15:00:00,1,0,0,3,0.453777
a,1.28331,1.75343,1.28331,1.75343,"{'att': 224, 'def': 14}","{'att': 255, 'def': 22}",7,7,0,1,0.995,l,2020-11-23 17:30:00,0,0,1,0,-0.4701200000000001
h,0.534893,1.27929,0.534893,1.27929,"{'att': 186, 'def': 11}","{'att': 269, 'def': 36}",12,4,0,2,0.7053,l,2020-11-27 20:00:00,0,0,1,0,-0.7443970000000001
a,1.68656,0.567234,1.68656,0.567234,"{'att': 307, 'def': 25}","{'att': 259, 'def': 17}",14,7,5,1,2.2483999999999997,w,2020-12-06 12:00:00,1,0,0,3,1.119326
h,1.84443,1.40792,1.84443,1.40792,"{'att': 214, 'def': 20}","{'att': 193, 'def': 18}",10,4,1,1,1.7143,d,2020-12-13 14:15:00,0,1,0,1,0.43650999999999995
a,1.09108,0.449469,1.09108,0.449469,"{'att': 256, 'def': 24}","{'att': 195, 'def': 16}",4,3,1,1,1.9857,d,2020-12-16 20:00:00,0,1,0,1,0.641611
h,0.489318,2.86902,0.489318,2.86902,"{'att': 478, 'def': 21}","{'att': 203, 'def': 28}",4,9,0,7,0.1316,l,2020-12-19 12:30:00,0,0,1,0,-2.379702
a,0.849086,4.58214,0.849086,4.58214,"{'att': 106, 'def': 14}","{'att': 246, 'def': 25}",12,9,0,3,0.0329,l,2020-12-26 15:00:00,0,0,1,0,-3.733054
h,0.321348,1.72132,0.321348,0.960152,"{'att': 374, 'def': 16}","{'att': 138, 'def': 25}",1,4,1,1,0.2835,d,2020-12-28 15:00:00,0,1,0,1,-0.6388039999999999
h,0.598888,0.323158,0.598888,0.323158,"{'att': 301, 'def': 24}","{'att': 187, 'def': 28}",5,7,2,0,1.5596999999999999,w,2021-01-02 15:00:00,1,0,0,3,0.27573
a,0.709634,0.368554,0.709634,0.368554,"{'att': 382, 'def': 16}","{'att': 178, 'def': 30}",2,6,0,0,1.6446,d,2021-01-14 20:00:00,0,1,0,1,0.34108
a,0.0515836,0.961088,0.0515836,0.961088,"{'att': 411, 'def': 5}","{'att': 155, 'def': 30}",3,5,0,4,0.3961,l,2021-01-17 19:15:00,0,0,1,0,-0.9095044000000001
h,0.629033,3.30321,0.629033,3.30321,"{'att': 232, 'def': 20}","{'att': 277, 'def': 19}",12,5,2,3,0.0963,l,2021-01-26 18:00:00,0,0,1,0,-2.6741770000000002
h,1.36877,0.450907,1.36877,0.450907,"{'att': 351, 'def': 18}","{'att': 318, 'def': 17}",5,2,1,0,2.2431,w,2021-01-30 15:00:00,1,0,0,3,0.9178630000000001
a,0.809312,1.90755,0.809312,1.90755,"{'att': 336, 'def': 16}","{'att': 199, 'def': 21}",6,9,2,1,0.6023000000000001,w,2021-02-02 20:15:00,1,0,0,3,-1.098238
a,0.370278,2.64769,0.370278,2.64769,"{'att': 490, 'def': 13}","{'att': 158, 'def': 23}",4,7,0,2,0.13690000000000002,l,2021-02-08 20:00:00,0,0,1,0,-2.277412
h,0.645616,1.95502,0.645616,1.95502,"{'att': 167, 'def': 29}","{'att': 195, 'def': 25}",10,4,0,3,0.4545,l,2021-02-13 15:00:00,0,0,1,0,-1.309404
a,0.179886,2.59204,0.179886,2.59204,"{'att': 387, 'def': 10}","{'att': 131, 'def': 23}",0,13,2,1,0.08990000000000001,w,2021-02-22 20:00:00,1,0,0,3,-2.412154
h,0.0880148,0.813134,0.0880148,0.813134,"{'att': 318, 'def': 33}","{'att': 206, 'def': 30}",1,5,0,0,0.5389999999999999,d,2021-02-28 12:00:00,0,1,0,1,-0.7251192
h,0.742397,0.584016,0.742397,0.584016,"{'att': 313, 'def': 19}","{'att': 204, 'def': 19}",3,8,0,0,1.5098000000000003,d,2021-03-03 20:15:00,0,1,0,1,0.158381
a,0.559383,2.24159,0.559383,2.24159,"{'att': 435, 'def': 30}","{'att': 209, 'def': 36}",1,5,1,4,0.24059999999999998,l,2021-03-07 19:15:00,0,0,1,0,-1.682207
h,1.30694,0.513439,0.545768,0.513439,"{'att': 202, 'def': 22}","{'att': 156, 'def': 29}",2,8,1,0,2.1841999999999997,w,2021-03-13 15:00:00,1,0,0,3,0.03232900000000005
a,0.603749,2.53386,0.603749,2.53386,"{'att': 252, 'def': 17}","{'att': 300, 'def': 24}",12,10,1,1,0.2869,d,2021-04-05 17:00:00,0,1,0,1,-1.9301109999999997
h,0.602167,3.85472,0.602167,3.85472,"{'att': 445, 'def': 20}","{'att': 254, 'def': 30}",0,7,1,4,0.0493,l,2021-04-10 16:30:00,0,0,1,0,-3.252553
a,0.723112,1.23419,0.723112,1.23419,"{'att': 298, 'def': 17}","{'att': 121, 'def': 27}",1,12,1,2,0.8893,l,2021-04-26 19:00:00,0,0,1,0,-0.5110779999999999
h,0.361866,2.04443,0.361866,2.04443,"{'att': 402, 'def': 19}","{'att': 141, 'def': 26}",3,8,0,2,0.2477,l,2021-05-01 11:30:00,0,0,1,0,-1.6825640000000002
a,2.25382,0.639325,2.25382,0.639325,"{'att': 270, 'def': 18}","{'att': 219, 'def': 29}",10,2,2,0,2.4709999999999996,w,2021-05-08 14:00:00,1,0,0,3,1.6144950000000002
a,1.32586,1.58872,0.56469,1.58872,"{'att': 357, 'def': 29}","{'att': 128, 'def': 23}",8,5,1,3,1.133,l,2021-05-11 21:00:00,0,0,1,0,-1.0240299999999998
h,1.95285,1.2303,1.95285,1.2303,"{'att': 183, 'def': 26}","{'att': 133, 'def': 17}",9,13,3,2,1.9828000000000001,w,2021-05-16 11:00:00,1,0,0,3,0.72255
